ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Minimum Quantity,Maximum Quantity,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 4 name,Attribute 4 value(s),Attribute 4 visible,Attribute 4 global
,variable,SOR-059,2-1B Surgical Droid,1,0,visible,,,,,taxable,,0,14,,0,0,,,,,0,,9000.01,9000.01,"Star Wars Unlimited > Unit > Vigilance,","Star Wars, Vigilance, Unit, DROID",sng-1,https://d3alac64utt23z.cloudfront.net/images/cards/SOR/059.png,,,,,,,,,0,,,Condition,"Near Mint, Lightly Played, Moderately Played, Heavily Played, Damaged",1,1,Foil,"Non Foil, Foil",1,1,Rarity,Common,1,1,Type,Unit,1,1
,variation,SOR-059-1F,2-1B Surgical Droid,1,0,visible,,,,,taxable,Parent,0,2,,0,0,,,,,0,,9000.01,9000.01,"Star Wars Unlimited > Unit > Vigilance,","Star Wars, Vigilance, Unit, DROID",sng-1,https://d3alac64utt23z.cloudfront.net/images/cards/SOR/059.png,,,SOR-059,,,,,,1,,,Condition,Near Mint,1,1,Foil,Foil,1,1,,,1,1,,,1,1
,variation,SOR-059-1NF,2-1B Surgical Droid,1,0,visible,,,,,taxable,Parent,0,12,,0,0,,,,,0,,9000.01,9000.01,"Star Wars Unlimited > Unit > Vigilance,","Star Wars, Vigilance, Unit, DROID",sng-1,https://d3alac64utt23z.cloudfront.net/images/cards/SOR/059.png,,,SOR-059,,,,,,2,,,Condition,Near Mint,1,1,Foil,Non Foil,1,1,,,1,1,,,1,1
,variation,SOR-059-2F,2-1B Surgical Droid,1,0,visible,,,,,taxable,Parent,0,0,,0,0,,,,,0,,9000.01,9000.01,"Star Wars Unlimited > Unit > Vigilance,","Star Wars, Vigilance, Unit, DROID",sng-1,https://d3alac64utt23z.cloudfront.net/images/cards/SOR/059.png,,,SOR-059,,,,,,3,,,Condition,Lightly Played,1,1,Foil,Foil,1,1,,,1,1,,,1,1
,variation,SOR-059-2NF,2-1B Surgical Droid,1,0,visible,,,,,taxable,Parent,0,0,,0,0,,,,,0,,9000.01,9000.01,"Star Wars Unlimited > Unit > Vigilance,","Star Wars, Vigilance, Unit, DROID",sng-1,https://d3alac64utt23z.cloudfront.net/images/cards/SOR/059.png,,,SOR-059,,,,,,4,,,Condition,Lightly Played,1,1,Foil,Non Foil,1,1,,,1,1,,,1,1
,variation,SOR-059-3F,2-1B Surgical Droid,1,0,visible,,,,,taxable,Parent,0,0,,0,0,,,,,0,,9000.01,9000.01,"Star Wars Unlimited > Unit > Vigilance,","Star Wars, Vigilance, Unit, DROID",sng-1,https://d3alac64utt23z.cloudfront.net/images/cards/SOR/059.png,,,SOR-059,,,,,,5,,,Condition,Moderately Played,1,1,Foil,Foil,1,1,,,1,1,,,1,1
,variation,SOR-059-3NF,2-1B Surgical Droid,1,0,visible,,,,,taxable,Parent,0,0,,0,0,,,,,0,,9000.01,9000.01,"Star Wars Unlimited > Unit > Vigilance,","Star Wars, Vigilance, Unit, DROID",sng-1,https://d3alac64utt23z.cloudfront.net/images/cards/SOR/059.png,,,SOR-059,,,,,,6,,,Condition,Moderately Played,1,1,Foil,Non Foil,1,1,,,1,1,,,1,1
,variation,SOR-059-4F,2-1B Surgical Droid,1,0,visible,,,,,taxable,Parent,0,0,,0,0,,,,,0,,9000.01,9000.01,"Star Wars Unlimited > Unit > Vigilance,","Star Wars, Vigilance, Unit, DROID",sng-1,https://d3alac64utt23z.cloudfront.net/images/cards/SOR/059.png,,,SOR-059,,,,,,7,,,Condition,Heavily Played,1,1,Foil,Foil,1,1,,,1,1,,,1,1
,variation,SOR-059-4NF,2-1B Surgical Droid,1,0,visible,,,,,taxable,Parent,0,0,,0,0,,,,,0,,9000.01,9000.01,"Star Wars Unlimited > Unit > Vigilance,","Star Wars, Vigilance, Unit, DROID",sng-1,https://d3alac64utt23z.cloudfront.net/images/cards/SOR/059.png,,,SOR-059,,,,,,8,,,Condition,Heavily Played,1,1,Foil,Non Foil,1,1,,,1,1,,,1,1
,variation,SOR-059-5F,2-1B Surgical Droid,1,0,visible,,,,,taxable,Parent,0,0,,0,0,,,,,0,,9000.01,9000.01,"Star Wars Unlimited > Unit > Vigilance,","Star Wars, Vigilance, Unit, DROID",sng-1,https://d3alac64utt23z.cloudfront.net/images/cards/SOR/059.png,,,SOR-059,,,,,,9,,,Condition,Damaged,1,1,Foil,Foil,1,1,,,1,1,,,1,1
,variation,SOR-059-5NF,2-1B Surgical Droid,1,0,visible,,,,,taxable,Parent,0,0,,0,0,,,,,0,,9000.01,9000.01,"Star Wars Unlimited > Unit > Vigilance,","Star Wars, Vigilance, Unit, DROID",sng-1,https://d3alac64utt23z.cloudfront.net/images/cards/SOR/059.png,,,SOR-059,,,,,,10,,,Condition,Damaged,1,1,Foil,Non Foil,1,1,,,1,1,,,1,1
,variable,SOR-324,2-1B Surgical Droid,1,0,visible,,,,,taxable,,0,0,,0,0,,,,,0,,9000.01,9000.01,"Star Wars Unlimited > Unit > Vigilance,","Star Wars, Vigilance, Unit, DROID",sng-1,https://d3alac64utt23z.cloudfront.net/images/cards/SOR/324.png,,,,,,,,,0,,,Condition,"Near Mint, Lightly Played, Moderately Played, Heavily Played, Damaged",1,1,Foil,"Non Foil, Foil",1,1,Rarity,Common,1,1,Type,Unit,1,1
,variation,SOR-324-1F,2-1B Surgical Droid,1,0,visible,,,,,taxable,Parent,0,0,,0,0,,,,,0,,9000.01,9000.01,"Star Wars Unlimited > Unit > Vigilance,","Star Wars, Vigilance, Unit, DROID",sng-1,https://d3alac64utt23z.cloudfront.net/images/cards/SOR/324.png,,,SOR-324,,,,,,1,,,Condition,Near Mint,1,1,Foil,Foil,1,1,,,1,1,,,1,1
,variation,SOR-324-1NF,2-1B Surgical Droid,1,0,visible,,,,,taxable,Parent,0,0,,0,0,,,,,0,,9000.01,9000.01,"Star Wars Unlimited > Unit > Vigilance,","Star Wars, Vigilance, Unit, DROID",sng-1,https://d3alac64utt23z.cloudfront.net/images/cards/SOR/324.png,,,SOR-324,,,,,,2,,,Condition,Near Mint,1,1,Foil,Non Foil,1,1,,,1,1,,,1,1
,variation,SOR-324-2F,2-1B Surgical Droid,1,0,visible,,,,,taxable,Parent,0,0,,0,0,,,,,0,,9000.01,9000.01,"Star Wars Unlimited > Unit > Vigilance,","Star Wars, Vigilance, Unit, DROID",sng-1,https://d3alac64utt23z.cloudfront.net/images/cards/SOR/324.png,,,SOR-324,,,,,,3,,,Condition,Lightly Played,1,1,Foil,Foil,1,1,,,1,1,,,1,1
,variation,SOR-324-2NF,2-1B Surgical Droid,1,0,visible,,,,,taxable,Parent,0,0,,0,0,,,,,0,,9000.01,9000.01,"Star Wars Unlimited > Unit > Vigilance,","Star Wars, Vigilance, Unit, DROID",sng-1,https://d3alac64utt23z.cloudfront.net/images/cards/SOR/324.png,,,SOR-324,,,,,,4,,,Condition,Lightly Played,1,1,Foil,Non Foil,1,1,,,1,1,,,1,1
,variation,SOR-324-3F,2-1B Surgical Droid,1,0,visible,,,,,taxable,Parent,0,0,,0,0,,,,,0,,9000.01,9000.01,"Star Wars Unlimited > Unit > Vigilance,","Star Wars, Vigilance, Unit, DROID",sng-1,https://d3alac64utt23z.cloudfront.net/images/cards/SOR/324.png,,,SOR-324,,,,,,5,,,Condition,Moderately Played,1,1,Foil,Foil,1,1,,,1,1,,,1,1
,variation,SOR-324-3NF,2-1B Surgical Droid,1,0,visible,,,,,taxable,Parent,0,0,,0,0,,,,,0,,9000.01,9000.01,"Star Wars Unlimited > Unit > Vigilance,","Star Wars, Vigilance, Unit, DROID",sng-1,https://d3alac64utt23z.cloudfront.net/images/cards/SOR/324.png,,,SOR-324,,,,,,6,,,Condition,Moderately Played,1,1,Foil,Non Foil,1,1,,,1,1,,,1,1
,variation,SOR-324-4F,2-1B Surgical Droid,1,0,visible,,,,,taxable,Parent,0,0,,0,0,,,,,0,,9000.01,9000.01,"Star Wars Unlimited > Unit > Vigilance,","Star Wars, Vigilance, Unit, DROID",sng-1,https://d3alac64utt23z.cloudfront.net/images/cards/SOR/324.png,,,SOR-324,,,,,,7,,,Condition,Heavily Played,1,1,Foil,Foil,1,1,,,1,1,,,1,1
,variation,SOR-324-4NF,2-1B Surgical Droid,1,0,visible,,,,,taxable,Parent,0,0,,0,0,,,,,0,,9000.01,9000.01,"Star Wars Unlimited > Unit > Vigilance,","Star Wars, Vigilance, Unit, DROID",sng-1,https://d3alac64utt23z.cloudfront.net/images/cards/SOR/324.png,,,SOR-324,,,,,,8,,,Condition,Heavily Played,1,1,Foil,Non Foil,1,1,,,1,1,,,1,1
,variation,SOR-324-5F,2-1B Surgical Droid,1,0,visible,,,,,taxable,Parent,0,0,,0,0,,,,,0,,9000.01,9000.01,"Star Wars Unlimited > Unit > Vigilance,","Star Wars, Vigilance, Unit, DROID",sng-1,https://d3alac64utt23z.cloudfront.net/images/cards/SOR/324.png,,,SOR-324,,,,,,9,,,Condition,Damaged,1,1,Foil,Foil,1,1,,,1,1,,,1,1
,variation,SOR-324-5NF,2-1B Surgical Droid,1,0,visible,,,,,taxable,Parent,0,0,,0,0,,,,,0,,9000.01,9000.01,"Star Wars Unlimited > Unit > Vigilance,","Star Wars, Vigilance, Unit, DROID",sng-1,https://d3alac64utt23z.cloudfront.net/images/cards/SOR/324.png,,,SOR-324,,,,,,10,,,Condition,Damaged,1,1,Foil,Non Foil,1,1,,,1,1,,,1,1
